country,lat,lng,category,value,description,,,
Afghanistan,33.93,67.71,food_insecurity,78,Over 15 million face acute food insecurity following the Taliban takeover and aid freeze.,,,
Afghanistan,33.93,67.71,poverty,72,Over 97% of the population fell below the poverty line after the 2021 economic collapse.,,,
Afghanistan,33.93,67.71,disease,65,High TB and malaria burden; the health system has largely collapsed under Taliban governance.,,,
Afghanistan,33.93,67.71,climate,58,Glacial retreat threatens freshwater for 80% of the population; droughts are intensifying.,,,
Albania,41.15,20.17,food_insecurity,18,Food access is generally adequate; rural poverty limits dietary diversity in highland regions.,,,
Albania,41.15,20.17,poverty,22,Poverty has declined significantly but rural areas lag; 14% below the national poverty line.,,,
Albania,41.15,20.17,disease,20,Relatively low disease burden; cardiovascular disease dominates health challenges.,,,
Albania,41.15,20.17,climate,35,Coastal flooding and summer droughts are worsening; Adriatic sea level rise poses long-term risks.,,,
Algeria,28.03,1.66,food_insecurity,20,Food subsidies cushion the population; import dependency creates vulnerability to global price shocks.,,,
Algeria,28.03,1.66,poverty,25,Hydrocarbon revenues fund social programs but youth unemployment drives moderate poverty.,,,
Algeria,28.03,1.66,disease,22,Moderate disease burden; TB is the primary infectious disease concern.,,,
Algeria,28.03,1.66,climate,48,Saharan desertification is expanding northward; water scarcity is a growing national security concern.,,,
Andorra,42.55,1.6,food_insecurity,4,Wealthy microstate with near-zero food insecurity.,,,
Andorra,42.55,1.6,poverty,4,One of the highest living standards in Europe; poverty is negligible.,,,
Andorra,42.55,1.6,disease,5,Excellent healthcare system; disease burden is minimal.,,,
Andorra,42.55,1.6,climate,15,Mountain ecosystem faces glacial loss and ski industry disruption from warming temperatures.,,,
Angola,-11.2,17.87,food_insecurity,55,Southern provinces face severe drought-driven food stress; 7 million food insecure.,,,
Angola,-11.2,17.87,poverty,60,Oil wealth bypasses the poor; 40% live below $1.90/day in rural areas.,,,
Angola,-11.2,17.87,disease,62,Malaria kills over 50,000 annually; cholera outbreaks are frequent; HIV prevalence at 2%.,,
Angola,-11.2,17.87,climate,50,Southern drought corridor expanding; flooding in the north disrupts agriculture.,,,
Antigua and Barbuda,17.06,-61.8,food_insecurity,15,Import-dependent but financially capable; hurricane disruptions cause temporary food stress.,,,
Antigua and Barbuda,17.06,-61.8,poverty,20,Low poverty overall but economic inequality is pronounced; post-hurricane recovery gaps remain.,,,
Antigua and Barbuda,17.06,-61.8,disease,15,Low disease burden; dengue and leptospirosis are seasonal concerns.,,,
Antigua and Barbuda,17.06,-61.8,climate,58,Existential hurricane risk; Hurricane Irma destroyed Barbuda in 2017 and forced full evacuation.,,,
Argentina,-38.42,-63.62,food_insecurity,28,Economic crisis has pushed food insecurity to 40% of the population despite agricultural wealth.,,,
Argentina,-38.42,-63.62,poverty,35,Inflation exceeding 200% in 2024 has driven 40% of the population below the poverty line.,,,
Argentina,-38.42,-63.62,disease,20,Moderate burden; dengue outbreaks are worsening with climate change.,,,
Argentina,-38.42,-63.62,climate,40,Drought in the Pampas hit record crop losses in 2023; flooding affects northeastern provinces.,,,
Armenia,40.07,45.04,food_insecurity,20,Economic pressure and displacement from Nagorno-Karabakh conflict affect food security.,,,
Armenia,40.07,45.04,poverty,30,About 25% below the poverty line; the 2023 Karabakh refugee crisis increased pressure.,,,
Armenia,40.07,45.04,disease,22,Cardiovascular disease dominates; TB rates are above European average.,,,
Armenia,40.07,45.04,climate,38,Glacial melt threatens the Ararat Valley's agriculture; drought cycles are intensifying.,,,
Australia,-25.27,133.78,food_insecurity,5,Food secure; drought affects farming output but not consumer access significantly.,,,
Australia,-25.27,133.78,poverty,10,About 13% live in poverty; Indigenous communities face significantly higher rates.,,,
Australia,-25.27,133.78,disease,8,Low disease burden; skin cancer and chronic disease are primary health concerns.,,,
Australia,-25.27,133.78,climate,42,Record wildfires in 2019-20; Great Barrier Reef bleaching; cyclone intensity increasing.,,,
Austria,47.52,14.55,food_insecurity,4,Highly food secure; agricultural subsidies and strong welfare system prevent food poverty.,,,
Austria,47.52,14.55,poverty,8,Low poverty; around 14% at risk of poverty or social exclusion by EU metrics.,,,
Austria,47.52,14.55,disease,6,Very low disease burden; excellent universal healthcare system.,,,
Austria,47.52,14.55,climate,22,Alpine glaciers retreating rapidly; heatwaves and flooding increasing in frequency.,,,
Azerbaijan,40.14,47.58,food_insecurity,15,Food generally accessible; rural poverty limits nutrition quality.,,,
Azerbaijan,40.14,47.58,poverty,25,Oil revenues reduce extreme poverty but inequality is high; 5% below the poverty line.,,,
Azerbaijan,40.14,47.58,disease,20,Moderate burden; TB and cardiovascular disease are primary concerns.,,,
Azerbaijan,40.14,47.58,climate,35,Caspian Sea level fluctuation and droughts threaten agricultural regions.,,,
Bahamas,25.03,-77.4,food_insecurity,12,Wealthy but import-dependent; hurricane disruptions cause periodic food insecurity.,,,
Bahamas,25.03,-77.4,poverty,15,Low poverty overall; Hurricane Dorian devastated Abaco and Grand Bahama in 2019.,,,
Bahamas,25.03,-77.4,disease,15,Relatively low burden; HIV rates higher than regional average at 2%.,,,
Bahamas,25.03,-77.4,climate,60,One of the most hurricane-exposed nations; storm surge threatens low-lying islands existentially.,,,
Bahrain,26.02,50.55,food_insecurity,10,Heavily import-dependent but wealthy; subsidy systems prevent food insecurity.,,,
Bahrain,26.02,50.55,poverty,8,Low poverty; migrant workers face exploitation but nationals have high living standards.,,,
Bahrain,26.02,50.55,disease,12,Non-communicable diseases dominate; diabetes prevalence is among the world's highest.,,,
Bahrain,26.02,50.55,climate,45,Extreme heat and water scarcity are structural vulnerabilities; desalination dependency is high.,,,
Bangladesh,23.68,90.35,food_insecurity,44,Seasonal flooding and erosion displace millions annually, disrupting food access for the poor.,,
Bangladesh,23.68,90.35,poverty,34,Significant poverty reduction but 40 million still live in moderate poverty.,,,
Bangladesh,23.68,90.35,disease,38,World's highest TB burden per capita; dengue causes seasonal urban epidemics.,,,
Bangladesh,23.68,90.35,climate,76,One of the most climate-vulnerable nations; cyclones and sea-level rise threaten 40 million.,,,
Barbados,13.19,-59.54,food_insecurity,10,High import dependency but strong economy; no significant food insecurity.,,,
Barbados,13.19,-59.54,poverty,14,Low poverty; post-pandemic economic recovery is underway.,,,
Barbados,13.19,-59.54,disease,12,Non-communicable diseases are the primary health burden; dengue is periodic.,,,
Barbados,13.19,-59.54,climate,52,Hurricane risk is high; sea-level rise threatens the coastline and freshwater lens.,,,
Belarus,53.71,27.95,food_insecurity,10,Subsidized food system keeps insecurity low despite economic sanctions.,,,
Belarus,53.71,27.95,poverty,12,Low official poverty; political repression and sanctions are eroding living standards.,,,
Belarus,53.71,27.95,disease,18,Cardiovascular disease is the dominant killer; HIV rates are rising.,,,
Belarus,53.71,27.95,climate,20,Flooding and drought are increasing; peat fires are a growing hazard.,,,
Belgium,50.5,4.47,food_insecurity,4,Highly food secure; food bank usage rose post-pandemic but broadly stable.,,,
Belgium,50.5,4.47,poverty,9,Around 13% at risk of poverty; inequality within urban areas is notable.,,,
Belgium,50.5,4.47,disease,7,Low burden; aging population drives chronic disease prevalence.,,,
Belgium,50.5,4.47,climate,20,Flooding (Liège 2021) revealed major climate vulnerabilities in dense urban areas.,,,
Belize,17.19,-88.5,food_insecurity,20,Rural food insecurity affects Mayan communities; hurricane damage disrupts food systems periodically.,,,
Belize,17.19,-88.5,poverty,35,About 40% live below the poverty line; rural Indigenous communities face the highest rates.,,,
Belize,17.19,-88.5,disease,28,HIV prevalence is among the highest in the region at 1.4%; dengue and malaria are present.,,,
Belize,17.19,-88.5,climate,58,Coral reef bleaching threatens fisheries; flooding and hurricane exposure are high.,,,
Benin,9.31,2.32,food_insecurity,45,Subsistence agriculture dominates; northern regions face seasonal food stress.,,,
Benin,9.31,2.32,poverty,64,About 38% live below $1.90/day; Sahel-proximate north is the most deprived.,,,
Benin,9.31,2.32,disease,65,High malaria burden; child mortality from preventable diseases remains elevated.,,,
Benin,9.31,2.32,climate,60,Coastal erosion is among the fastest in the world; inland flooding increasing.,,,
Bhutan,27.51,90.43,food_insecurity,18,Relatively food secure due to strong state systems; rural subsistence farming faces weather shocks.,,,
Bhutan,27.51,90.43,poverty,28,About 8% below the national poverty line; rural-urban inequality is growing.,,,
Bhutan,27.51,90.43,disease,30,Moderate burden; malaria in southern lowlands; non-communicable diseases rising.,,,
Bhutan,27.51,90.43,climate,50,Glacial lake outburst floods threaten downstream valleys; glaciers are retreating rapidly.,,,
Bolivia,-16.29,-63.59,food_insecurity,28,Rural food insecurity persists in the Altiplano; drought and frost damage crops regularly.,,,
Bolivia,-16.29,-63.59,poverty,42,About 35% in moderate poverty; Indigenous highland communities face structural exclusion.,,,
Bolivia,-16.29,-63.59,disease,38,High burden of Chagas disease and TB; healthcare access in rural areas is limited.,,,
